"측정소명","년","월","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","SS(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","총대장균군수(총대장균군수/100ml)","클로로필 a(㎎/㎥)","분원성대장균군수"
"김포","2020","01","13.1","0.8","3.6","6.2","3.761","0.026","1.9","7.6","1600","9.1","4"
"김포","2020","02","12.3","1.5","5.8","772.8","5.374","0.036","2.9","7.4","8000","6.1","230"
"김포","2020","03","11.2","2.7","5.4","77.7","5.842","0.122","3.1","7.6","23000","26.9","1800"
"김포","2020","04","11.4","2.6","6.2","8","6.252","0.063","3.1","7.6","8000","26.7","180"
"김포","2020","05","7.4","1.4","5.3","9","5.252","0.105","2.4","7","20000","10.8","500"
"김포","2020","06","7.1","1.7","6.5","168","4.102","0.276","3.2","8.1","86000","19.4","1300"
"김포","2020","07","7.5","1.4","6","73.7","3.739","0.168","2.5","7.5","230000","35.2","1000"
"김포","2020","08","8.9","1","3.7","7.8","2.755","0.064","1.7","7.8","7000","23.4","1300"
"김포","2020","09","10.2","0.9","3.3","15.8","2.629","0.099","1.7","7.3","12000","7.8","1500"
"김포","2020","10","9.3","2.1","5.4","10.4","6.285","0.128","2.6","6.9","30000","19","680"
"김포","2020","11","9.7","1.1","4.9","10","4.951","0.053","2.5","7.5","97000","15.5","1900"
"김포","2020","12","12.4","1.2","5.4","7.4","6.141","0.052","2.7","7.8","6200","14.7","210"
"김포","2021","01","13.6","0.9","5.1","5","6.485","0.062","2.2","7.8","6300","8.9","860"
"김포","2021","02","13.7","1.2","5.5","12.2","6.627","0.052","2.9","7.7","870","11.8","150"
"김포","2021","03","13.2","2.2","6.4","9.6","4.659","0.053","2.6","7.2","7000","7.4","360"
"김포","2021","04","15.9","3.7","8.5","13","5.081","0.081","2.4","9.1","1200","139.4","130"
"김포","2021","05","9.7","2.9","5","12.8","4.432","0.086","2.2","7.5","10000","24.1","290"
"김포","2021","06","8.1","1.5","4.7","12.8","3.03","0.075","1.9","7.5","22000","22.7","200"
"김포","2021","07","7.8","1.5","5.5","25.8","2.75","0.128","2.1","7.3","49000","8.7","2000"
"김포","2021","08","9.5","4.4","6.3","82.6","4.809","0.28","2.6","7.7","89000","177.2","1800"
"김포","2021","09","7.8","1.2","5.1","20.6","2.726","0.139","2.4","7.4","73000","12.2","4500"
"김포","2021","10","8.6","1.3","5.9","9.8","4.037","0.081","1.6","7.6","21000","19.5","1700"
"김포","2021","11","8.8","3.8","6.6","13.6","5.513","0.188","2.5","7.2","300000","21.8","77000"
"김포","2021","12","11.6","2.3","5.4","6.8","6.615","0.053","3.5","7.2","33000","27.5","6400"
"계양천","2020","01","10","2.5","5","65","3.345","0.092","2.6","7.3","","",""
"계양천","2020","02","9","4.2","5.9","33.6","3.675","0.154","3.3","7.5","","",""
"계양천","2020","03","10","4.3","6.3","46.1","3.719","0.195","3.3","7.5","","",""
"계양천","2020","04","9.2","4.9","7","35.8","3.992","0.18","3.8","7.6","","",""
"계양천","2020","05","8.9","2.9","6.7","72.1","3.419","0.093","4.5","7.8","","",""
"계양천","2020","06","8","15.4","15.4","184.5","3.447","0.165","7.3","7.6","","",""
"계양천","2020","07","8","1.5","4.3","35.3","3.026","0.085","2.8","7.7","","",""
"계양천","2020","08","8.5","3","6.7","65.7","2.707","0.132","3.1","7.9","","",""
"계양천","2020","09","9.1","2","4.8","37","2.685","0.099","8","7.5","","",""
"계양천","2020","10","12.8","4.3","5.4","20.3","3.276","0.167","3.2","7.6","","",""
"계양천","2020","11","10.3","7.4","6.4","92.9","4.223","0.213","3.5","7.6","","",""
"계양천","2020","12","11.9","10.2","13.3","723","3.697","0.218","4.7","7.3","","",""
"계양천","2021","01","","","","","","","","","","",""
"계양천","2021","02","12.5","7.9","8.3","239.8","5.026","0.279","4","7.7","","",""
"계양천","2021","03","10.8","8.8","7.8","154.9","5.83","0.286","5.3","7.8","","",""
"계양천","2021","04","12.3","5.5","6.7","73","4.015","0.099","4.8","8.5","","",""
"계양천","2021","05","8.3","4.9","6.2","73.8","4.046","0.146","3.7","8.3","","",""
"계양천","2021","06","8.9","3.1","6.6","70.3","3.241","0.112","3.3","8.1","","",""
"계양천","2021","07","9","3.1","5.5","71","2.708","0.103","3.6","8","","",""
"계양천","2021","08","8.6","3.1","6.1","81.5","2.753","0.135","3.3","8.2","","",""
"계양천","2021","09","7.4","3.9","7.2","88.6","2.509","0.118","4.8","8","","",""
"계양천","2021","10","10.7","3.4","5.8","46.3","3.236","0.113","4.1","8.3","","",""
"계양천","2021","11","11.8","3.8","5.3","52.6","3.656","0.113","4.3","8.6","","",""
"계양천","2021","12","11.1","6.5","7.7","10.5","5.556","0.283","7.3","8.1","","",""
"나진포천","2020","01","9.5","4.4","6","4.8","5.078","0.241","3.1","7.4","","",""
"나진포천","2020","02","8.7","4.9","7.1","5.5","4.892","0.242","3.7","7.5","","",""
"나진포천","2020","03","9.3","5","7","5.6","5.29","0.379","4.1","7.6","","",""
"나진포천","2020","04","10.2","6.4","8.8","13.1","5.683","0.285","4.9","7.8","","",""
"나진포천","2020","05","7.8","4.8","8.5","44.2","4.422","0.123","5.8","7.8","","",""
"나진포천","2020","06","7.1","8.4","11","28.6","4.22","0.197","5.9","7.4","","",""
"나진포천","2020","07","7.6","3.9","6.4","17.1","3.433","0.133","4.2","7.7","","",""
"나진포천","2020","08","6.9","3.6","6","57.4","2.745","0.106","3.3","7.8","","",""
"나진포천","2020","09","11.3","3.6","4.9","6.7","2.902","0.087","4.8","7.9","","",""
"나진포천","2020","10","12.5","4.3","6.3","3.1","3.501","0.137","4.7","8","","",""
"나진포천","2020","11","9.4","3.5","4.8","4.5","3.614","0.127","3.3","8.5","","",""
"나진포천","2020","12","10.8","4.1","4.8","7.4","4.286","0.129","3.4","7","","",""
"나진포천","2021","01","","","","","","","","","","",""
"나진포천","2021","02","9.7","8.1","8","5.1","5.485","0.165","5","7.9","","",""
"나진포천","2021","03","9.9","5","5.7","6.9","4.434","0.139","4.3","7.8","","",""
"나진포천","2021","04","10.3","5.5","7","14.8","3.816","0.079","5.2","8","","",""
"나진포천","2021","05","7","4.4","6.3","28.8","3.938","0.118","4.1","7.9","","",""
"나진포천","2021","06","8.4","2.7","5.9","15.5","3.31","0.099","3.3","7.9","","",""
"나진포천","2021","07","8","2.8","5.1","13.8","3.149","0.123","3.5","7.9","","",""
"나진포천","2021","08","6","2.8","5","27.9","2.724","0.106","3","8","","",""
"나진포천","2021","09","6.5","3","6.3","14","2.689","0.107","5.5","7.7","","",""
"나진포천","2021","10","9.1","2.8","5.2","7.4","3.144","0.117","4.5","8","","",""
"나진포천","2021","11","10.3","3.4","5.5","5.6","3.554","0.145","4.7","8","","",""
"나진포천","2021","12","9.4","4.2","6.5","3.8","4.581","0.214","5.8","7.9","","",""
"한탄강1","2020","01","13.9","0.4","2.4","1.4","2.666","0.014","0.9","8.5","290","3.1","19"
"한탄강1","2020","02","13.5","0.9","3","2.4","2.465","0.017","1.4","8.5","120","2.1","0"
"한탄강1","2020","03","12.5","0.5","2.5","2.8","2.304","0.024","1.2","8.6","1000","4.3","0"
"한탄강1","2020","04","11.6","2.3","5.5","15.6","2.783","0.065","2.9","8.6","6800","20","30"
"한탄강1","2020","05","9.8","1.3","7.3","46.6","2.467","0.116","3.1","9.2","280000","14.1","300"
"한탄강1","2020","06","10.4","0.6","3.6","8.2","2.355","0.035","1.7","9.3","14000","4.8","30"
"한탄강1","2020","07","8.6","0.6","3.7","11.4","1.711","0.059","1.6","8.6","30000","7.6","270"
"한탄강1","2020","08","8.3","0.4","3.6","4.6","1.577","0.067","1.6","7.7","50000","2.2","1000"
"한탄강1","2020","09","9.1","0.7","3.5","5.4","1.492","0.075","1.6","7.9","88000","4.3","1200"
"한탄강1","2020","10","10.5","0.7","2.2","2.4","1.906","0.018","1","8.6","11000","2.9","70"
"한탄강1","2020","11","12.3","0.4","2.3","1","2.426","0.032","1","8.3","2600","0.8","20"
"한탄강1","2020","12","","","","","","","","","","",""
"한탄강1","2021","01","","","","","","","","","","",""
"한탄강1","2021","02","15.6","0.5","2.5","2.5","2.9","0.019","1","7.7","25","3.4","10"
"한탄강1","2021","03","13.3","1","2.9","3.2","3.041","0.029","1.6","8","73","5.8","33"
"한탄강1","2021","04","12.2","1.3","3.5","14.3","2.723","0.064","1.9","7.8","6600","14.5","3500"
"한탄강1","2021","05","10.9","1.3","4.6","35.9","3.015","0.123","2.5","7.7","4000","4.4","0"
"한탄강1","2021","06","10.6","1","3.6","10.6","2.449","0.043","1.8","7.6","300","2.5","240"
"한탄강1","2021","07","8.4","0.7","3.2","9.8","1.95","0.042","1.9","7.9","1400","4.2","460"
"한탄강1","2021","08","9.1","1.2","4.1","6.4","1.658","0.046","2.4","8","330","15.1","260"
"한탄강1","2021","09","10.2","0.9","3","7.9","2.181","0.059","2","8","4800","8","2300"
"한탄강1","2021","10","12.4","0.7","3.6","17.7","2.464","0.062","2.2","8.1","2600","2.7","1200"
"한탄강1","2021","11","11.8","0.7","2.4","2.8","2.663","0.016","1.4","8.3","23000","7","5500"
"한탄강1","2021","12","13.3","1","3.2","6.2","2.78","0.034","1.8","8.4","23000","9.8","11000"
"영평천1","2020","01","15","1.5","1.1","0.8","2.592","0.005","0.7","7.5","130","0.2","20"
"영평천1","2020","02","12.9","0.7","1.2","0.8","1.57","0.006","0.6","6.8","80","0.2","20"
"영평천1","2020","03","13.5","1.1","1.2","0.8","2.197","0.009","1.2","6.8","230","0.7","20"
"영평천1","2020","04","13.1","1","1.5","0.8","1.623","0.02","1.5","7.1","45","0.7","20"
"영평천1","2020","05","8.5","0.6","1.7","0.8","1.667","0.008","0.7","7.3","78","0.2","45"
"영평천1","2020","06","7.6","0.7","2.2","0.8","1.318","0.01","1.5","7.6","490","2","93"
"영평천1","2020","07","8.5","0.6","1.7","0.8","1.667","0.008","0.7","7.3","78","0.2","45"
"영평천1","2020","08","6","1.1","2.3","0.8","1.598","0.006","2","7.3","2400","1.3","220"
"영평천1","2020","09","8.1","1","1.8","0.8","1.765","0.008","2","7.5","1100","1.1","130"
"영평천1","2020","10","10.8","1.1","1.8","0.8","1.58","0.008","1.3","7.5","170","0.2","78"
"영평천1","2020","11","11.1","0.9","1.6","0.8","1.793","0.005","1.3","7.7","110","0.3","45"
"영평천1","2020","12","16.5","1","1.5","0.8","2.474","0.011","0.9","7.4","140","0.6","20"
"영평천1","2021","01","16.3","1","1.3","0.6","2.546","0.008","1.1","7.5","45","0.8","20"
"영평천1","2021","02","16.8","1.1","1.5","0.4","1.805","0","1","7.4","78","0.2","20"
"영평천1","2021","03","11.6","0.6","1.6","0.4","2.804","0.004","1","7.6","78","0.1","20"
"영평천1","2021","04","8.6","0.9","1.8","0.4","2.877","0.006","1.1","7","45","0.9","20"
"영평천1","2021","05","7.8","1.3","1.5","0.2","2.343","0.014","1.6","7.2","330","0.7","40"
"영평천1","2021","06","9.3","0.9","1.4","0.4","1.653","0.007","1.2","7.4","340","4.7","45"
"영평천1","2021","07","9.5","0.8","2","0.2","1.595","0.008","1.5","7.3","170","1.6","20"
"영평천1","2021","08","8.6","0.8","2.1","1.4","1.83","0.006","1.3","6.9","220","1.1","20"
"영평천1","2021","09","10.1","0.6","1.7","0.2","2.123","0.003","1.3","7.3","1100","2","45"
"영평천1","2021","10","10.5","1","3.2","0.2","1.773","0.007","1.1","7.6","270","1","45"
"영평천1","2021","11","12.4","0.7","1.6","0.4","1.685","0.004","0.9","7.5","330","5.5","40"
"영평천1","2021","12","14","1","1","0.2","2.077","0.004","1.2","7.5","340","0.8","40"
"영평천2","2020","01","15.1","1.4","1.9","0.8","7.797","0.02","1.1","7","3500","0.3","490"
"영평천2","2020","02","13.6","1","2.1","0.8","5.6","0.012","1.4","6.9","80","1.6","20"
"영평천2","2020","03","13.5","1.3","2.2","0.8","4.788","0.01","1.4","6.9","490","3.2","230"
"영평천2","2020","04","12.6","1.5","3.4","1.2","4.547","0.038","2.7","6.8","110","4.9","45"
"영평천2","2020","05","10.1","3.9","5.9","8.8","2.047","0.01","4.1","8","170","34.3","78"
"영평천2","2020","06","8.9","1.6","3.7","6.4","4.477","0.021","2.7","8.2","330","15.7","45"
"영평천2","2020","07","10.1","3.9","5.9","8.8","2.047","0.01","4.1","8","170","34.3","78"
"영평천2","2020","08","8.2","1.6","2.9","4.4","5.501","0.019","2.4","8.9","2400","6.9","790"
"영평천2","2020","09","8.2","1.4","2.8","4.8","4.262","0.028","2.4","7.8","5400","5.9","3500"
"영평천2","2020","10","10.7","2","2.5","0.8","6.529","0.016","2.2","7.1","1300","3.9","170"
"영평천2","2020","11","12.2","1.2","2.8","0.8","7.192","0.011","2.2","7.3","230","4","78"
"영평천2","2020","12","17.5","1.5","2","2","7.217","0.022","1.3","7","1300","3.2","110"
"영평천2","2021","01","16.4","2.5","3","1.2","7.026","0.025","2.3","7.2","2400","3","1300"
"영평천2","2021","02","16.5","2","3","1.8","8.042","0.014","2.1","6","220","5","170"
"영평천2","2021","03","10.9","1.1","3.2","1.4","5.418","0.025","1.7","7.3","2200","1.9","110"
"영평천2","2021","04","7.6","1","2.3","2","3.961","0.019","1.5","6.9","490","2.8","45"
"영평천2","2021","05","7.6","1.7","3","3.4","5.14","0.024","1.9","6.8","16000","3.7","700"
"영평천2","2021","06","9.1","1.6","3.5","1","4.783","0.025","1.9","7.4","3500","4.8","330"
"영평천2","2021","07","9.8","1.8","3.1","10.2","4.016","0.025","2.9","7.5","1300","1.2","68"
"영평천2","2021","08","9.6","1.3","3","5.6","3.853","0.018","2.1","7.6","270","12.6","45"
"영평천2","2021","09","10.3","1.1","2.6","3","4.066","0.016","1.7","7.7","2400","0.4","68"
"영평천2","2021","10","10.5","0.9","2.2","2","4.507","0.022","1.4","7.5","5400","5.2","220"
"영평천2","2021","11","11.9","1.2","2.3","1.2","6.216","0.008","1.4","7.6","700","5.4","68"
"영평천2","2021","12","14.7","1.2","1.8","0.4","6.167","0.011","1.4","7.5","790","4.6","110"
"포천천","2020","01","13.6","2.6","4.3","1.6","9.051","0.058","2.7","7.1","16000","0.9","3500"
"포천천","2020","02","12.5","2.2","4.2","0.8","5.928","0.02","2.4","7.4","700","3.8","490"
"포천천","2020","03","13.9","2.3","4.9","0.8","5.281","0.021","3.4","7.2","1400","9.7","1400"
"포천천","2020","04","9.8","4.8","8.1","5.2","5.314","0.023","5.6","7","1700","22.7","1100"
"포천천","2020","05","7.1","4.5","11.5","8.8","4.503","0.022","6.1","7.9","680","58.6","450"
"포천천","2020","06","6.7","4.8","6.6","5.6","3.852","0.022","5.9","8.1","700","36.7","130"
"포천천","2020","07","7.1","4.5","11.5","8.8","4.503","0.022","6.1","7.9","680","58.6","450"
"포천천","2020","08","7.7","2","4.7","8.4","5.726","0.07","3.7","8.1","16000","9.5","9200"
"포천천","2020","09","7","2.1","4.7","18","4.687","0.081","3.3","7.8","28000","4.8","4900"
"포천천","2020","10","9.3","2.5","4.2","3.6","6.544","0.049","3.1","7.1","24000","8.9","13000"
